ID_PROJECT,VPD
ID_BATCH,ALPHA1
ID_WAFER,OEM-BY-PD-02
WAFER_ROTATION,90
TILE_WIDTH,10.5
TILE_HEIGHT,10.5
TEST_STRUCTURE,ALL
LINES_DATA,1628
tile_id,die_id,xc_ref[um],yc_ref[um],xc_chip[um],yc_chip[um],width[um],height[um],Array detail
DD,21F1,-5.1,5.4275,-5.1,5.4275,1.0,0.25,D01
DD,21G1,-4.05,5.4275,-4.05,5.4275,1.0,0.25,D01
DD,21H1,-3.0,5.4275,-3.0,5.4275,1.0,0.25,D01
DD,21I1,-1.95,5.4275,-1.95,5.4275,1.0,0.25,D01
DD,21J1,-0.9,5.4275,-0.9,5.4275,1.0,0.25,D01
DD,22J1,-0.9,5.1775,-0.9,5.1775,1.0,0.25,D01
DD,22I1,-1.95,5.1775,-1.95,5.1775,1.0,0.25,D01
DD,22H1,-3.0,5.1775,-3.0,5.1775,1.0,0.25,D01
DD,22G1,-4.05,5.1775,-4.05,5.1775,1.0,0.25,D01
DD,22F1,-5.1,5.1775,-5.1,5.1775,1.0,0.25,D01
DD,22E1,-6.15,5.1775,-6.15,5.1775,1.0,0.25,D01
DD,22D1,-7.2,5.1775,-7.2,5.1775,1.0,0.25,D01
DD,22C1,-8.25,5.1775,-8.25,5.1775,1.0,0.25,D01
DD,22B1,-9.3,5.1775,-9.3,5.1775,1.0,0.25,D01
DD,22A1,-10.35,5.1775,-10.35,5.1775,1.0,0.25,D01
DD,23A1,-10.35,4.9275,-10.35,4.9275,1.0,0.25,D01
DD,23B1,-9.3,4.9275,-9.3,4.9275,1.0,0.25,D01
DD,23C1,-8.25,4.9275,-8.25,4.9275,1.0,0.25,D01
DD,23D1,-7.2,4.9275,-7.2,4.9275,1.0,0.25,D01
DD,23E1,-6.15,4.9275,-6.15,4.9275,1.0,0.25,D01
DD,23F1,-5.1,4.9275,-5.1,4.9275,1.0,0.25,D01
DD,23G1,-4.05,4.9275,-4.05,4.9275,1.0,0.25,D01
DD,23H1,-3.0,4.9275,-3.0,4.9275,1.0,0.25,D01
DD,23I1,-1.95,4.9275,-1.95,4.9275,1.0,0.25,D01
DD,23J1,-0.9,4.9275,-0.9,4.9275,1.0,0.25,D01
DD,24J1,-0.9,4.6775,-0.9,4.6775,1.0,0.25,D01
DD,24I1,-1.95,4.6775,-1.95,4.6775,1.0,0.25,D01
DD,24H1,-3.0,4.6775,-3.0,4.6775,1.0,0.25,D01
DD,24G1,-4.05,4.6775,-4.05,4.6775,1.0,0.25,D01
DD,24F1,-5.1,4.6775,-5.1,4.6775,1.0,0.25,D01
DD,24E1,-6.15,4.6775,-6.15,4.6775,1.0,0.25,D01
DD,24D1,-7.2,4.6775,-7.2,4.6775,1.0,0.25,D01
DD,24C1,-8.25,4.6775,-8.25,4.6775,1.0,0.25,D01
DD,24B1,-9.3,4.6775,-9.3,4.6775,1.0,0.25,D01
DD,24A1,-10.35,4.6775,-10.35,4.6775,1.0,0.25,D01
DD,25A1,-10.35,4.4275,-10.35,4.4275,1.0,0.25,D01
DD,25B1,-9.3,4.4275,-9.3,4.4275,1.0,0.25,D01
DD,25C1,-8.25,4.4275,-8.25,4.4275,1.0,0.25,D01
DD,25D1,-7.2,4.4275,-7.2,4.4275,1.0,0.25,D01
DD,25E1,-6.15,4.4275,-6.15,4.4275,1.0,0.25,D01
DD,25F1,-5.1,4.4275,-5.1,4.4275,1.0,0.25,D01
DD,25G1,-4.05,4.4275,-4.05,4.4275,1.0,0.25,D01
DD,25H1,-3.0,4.4275,-3.0,4.4275,1.0,0.25,D01
DD,25I1,-1.95,4.4275,-1.95,4.4275,1.0,0.25,D01
DD,25J1,-0.9,4.4275,-0.9,4.4275,1.0,0.25,D01
DD,26J1,-0.9,4.1775,-0.9,4.1775,1.0,0.25,D01
DD,26I1,-1.95,4.1775,-1.95,4.1775,1.0,0.25,D01
DD,26H1,-3.0,4.1775,-3.0,4.1775,1.0,0.25,D01
DD,26G1,-4.05,4.1775,-4.05,4.1775,1.0,0.25,D01
DD,26F1,-5.1,4.1775,-5.1,4.1775,1.0,0.25,D01
DD,26E1,-6.15,4.1775,-6.15,4.1775,1.0,0.25,D01
DD,26D1,-7.2,4.1775,-7.2,4.1775,1.0,0.25,D01
DD,26C1,-8.25,4.1775,-8.25,4.1775,1.0,0.25,D01
DD,26B1,-9.3,4.1775,-9.3,4.1775,1.0,0.25,D01
DD,26A1,-10.35,4.1775,-10.35,4.1775,1.0,0.25,D01
DD,27A1,-10.35,3.9275,-10.35,3.9275,1.0,0.25,D01
DD,27B1,-9.3,3.9275,-9.3,3.9275,1.0,0.25,D01
DD,27C1,-8.25,3.9275,-8.25,3.9275,1.0,0.25,D01
DD,27D1,-7.2,3.9275,-7.2,3.9275,1.0,0.25,D01
DD,27E1,-6.15,3.9275,-6.15,3.9275,1.0,0.25,D01
DD,27F1,-5.1,3.9275,-5.1,3.9275,1.0,0.25,D01
DD,27G1,-4.05,3.9275,-4.05,3.9275,1.0,0.25,D01
DD,27H1,-3.0,3.9275,-3.0,3.9275,1.0,0.25,D01
DD,27I1,-1.95,3.9275,-1.95,3.9275,1.0,0.25,D01
DD,27J1,-0.9,3.9275,-0.9,3.9275,1.0,0.25,D01
DD,28J1,-0.9,3.6775,-0.9,3.6775,1.0,0.25,D01
DD,28I1,-1.95,3.6775,-1.95,3.6775,1.0,0.25,D01
DD,28H1,-3.0,3.6775,-3.0,3.6775,1.0,0.25,D01
DD,28G1,-4.05,3.6775,-4.05,3.6775,1.0,0.25,D01
DD,28F1,-5.1,3.6775,-5.1,3.6775,1.0,0.25,D01
